Date,ISOWeek,DOI,Version,Category,Title,Authors
2026-03-27,13,10.1101/2022.04.18.488630,3,bioinformatics,NETSCOPE: Information-Theory Based Network Discovery and Analysis,"Bergmans, T.; Jamal, T.; Rezeika, A.; Hsing, C.-C.; Celikel, T."
2026-03-28,13,10.1101/2022.10.02.510295,2,cell biology,Vimentin enables directional cell migration by coordinating focal adhesion organization and dynamics,"Venu, A. P.; Modi, M.; Tcarenkova, E.; Sultana, G.; Pesa, J.; Yang, P.; Aryal, U.; Coelho-Rato, L. S.; Edman, J.; Jiu, Y.; Jacquemet, G.; Minin, A.; Cheng, F. E.; Eriksson, J. E."
2026-03-25,13,10.1101/2023.01.16.524304,2,cell biology,Post-Transcriptional Size-Dependent Expression of the Fission Yeast Cdc13 Cyclin,"Bashir, S.; Sun, X.-M.; Zhao, Y.; Martinez-Illescas, N. G.; Gallego-Lopez, I.; Guerrero Negron, L.; Keifenheim, D.; Karadimitriou, T.; Pickering, M.; Marguerat, S.; Rhind, N."
2026-03-25,13,10.1101/2023.04.17.537180,7,animal behavior and cognition,Opportunistic evidence of the impact of bacterial infections on social integration in vampire bats,"Razik, I.; Abou-Elias, M.; Carter, G.; Stockmaier, S."
2026-03-23,13,10.1101/2023.04.25.537981,3,bioinformatics,AI-Enhanced Adaptive Virtual Screening Platform Enabling Exploration of 69 Billion Molecules Discovers Structurally Validated FSP1 Inhibitors,"Cecchini, D.; Nigam, A.; Tang, M.; Reis, J.; Koop, M.; Gottinger, A.; Nicoll, C. R.; Wang, Y.; Jayaraj, A.; Cinaroglu, S. S.; Törner, R.; Malets, Y.; Gehev, M.; Padmanabha Das, K. M.; Churion, K.; Kim, J.; Thomas, N.; Li, Y.; Seo, H.-S.; Dhe-Paganon, S.; Secker, C.; Haddadnia, M.; Hasson, A.; Li, M.; Kumar, A.; Levin-Konigsberg, R.; Choi, E.-B.; Shapiro, G. I.; Cox, H.; Sebastian, L.; Braithwaite, C.; Bashyal, P.; Radchenko, D. S.; Kumar, A.; Yang, L.; Aquilanti, P.-Y.; Gabb, H.; Alhossary, A.; Wagner, G.; Aspuru-Guzik, A.; Moroz, Y. S.; Kalodimos, C. G.; Fackeldey, K.; Schuetz, J. D.; Mattev"
2026-03-23,13,10.1101/2023.09.11.557269,4,molecular biology,Uncoupling the TFIIH Core and Kinase Modules Leads To Misregulated RNA Polymerase II CTD Serine 5 Phosphorylation,"Giordano, G.; Buratowski, R.; Jeronimo, C.; Poitras, C.; Robert, F.; Buratowski, S."
2026-03-27,13,10.1101/2023.10.04.560817,2,neuroscience,Sex differences in insular cortex function in persistent alcohol drinking despite aversion in mice,"Fornari, C.; Ricci, D.; Couderc, Y.; Guerrero-Marquez, C.; Namburi, P.; Penet, C.; Nicolas, C.; Beyeler, A."
2026-03-25,13,10.1101/2023.11.08.566299,3,microbiology,Enteric Populations of Escherichia coli are Likely to be Resistant to Phages Due to O-Antigen Expression,"Berryhill, B. A.; Gil-Gil, T.; Burke, K. B.; Fontaine, J.; Brink, C. E.; Harvill, M. G.; Goldberg, D. A.; Navas, J. N.; May, K. L.; Grabowicz, M.; Konstantinidis, K. T.; Levin, B. R.; Woodworth, M. H."
2026-03-26,13,10.1101/2024.01.02.573869,4,evolutionary biology,Wing shape evolution is not constrained by ancestral genetic covariances in the invasive Drosophila suzukii,"Fraimout, A.; Chantepie, S.; Navarro, N.; Teplitsky, C.; Debat, V."
2026-03-28,13,10.1101/2024.01.24.577100,2,genomics,Systemic Genome Correlation Loss as a Central Characteristic of Spaceflight,"Sakharkar, A.; Berliner, A. J.; Lukong, K. E.; Sanders, L. M.; Costes, S. V.; Yang, J.; Taghibiglou, C.; Mason, C. E."
2026-03-27,13,10.1101/2024.02.05.578987,2,biophysics,DARE: Division Axis and Region Estimation from 2D and 3D Time-Lapse Images,"Karpinski, R.; Gros, A.; Karnat, M.; Saaheelur Rahaman, Q.; Vanaret, J.; Saadaoui, M.; Tlili, S. L.; Rupprecht, J.-F."
2026-03-24,13,10.1101/2024.02.12.580019,4,ecology,Pathogen and pest risks to vegetatively propagated crops in humanitarian contexts: Toward a national plant health risk analysis for Cameroon and Ethiopia,"Mouafo-Tchinda, R.; Etherton, B.; Plex Sula, A.; Robledo, J.; Andrade-Piedra, J.; Ogero, K.; Omondi, B. A.; McEwan, M.; Tene Tayo, P.; Harahagazwe, D.; Cherinet, M.; Gebeyehu, S.; Sperling, L.; Garrett, K. A."
2026-03-25,13,10.1101/2024.02.14.580219,2,bioengineering,High-frequency amplitude-modulated sinusoidal stimulation desynchronizes neural activity and enhances naturalness of evoked sensations,"Barra, B.; Rose, D. S.; Kumar, R.; Gopinath, C.; Mirzakhalili, E.; Lempka, S. F.; Gaunt, R. A.; Glowacki, E. D.; Fisher, L. E."
2026-03-27,13,10.1101/2024.03.12.584592,2,cell biology,WITHDRAWN: Regulation of Interstitial Lung Diseases by Pulmonary Endothelial Cells via PLVAP,"Zhang, X.; Jia, L.; Hou, R.; Zhao, Y.-a.; Zhang, L.; Tong, X.; Mo, Y.; Zhang, L."
2026-03-23,13,10.1101/2024.03.13.584921,2,neuroscience,Enhancer-targeted CRISPR-A rescues haploinsufficiency and mutant phenotypes in organoid models of autism,"Chen, G. T.; Nair, G.; Osorio, A. J.; Holley, S. M.; Ghassemzadeh, K.; Zhou, Y.; Gonzalez, J. G.; Martin, J. M.; Lu, C.; Sanjana, N. E.; Cepeda, C.; Geschwind, D."
2026-03-25,13,10.1101/2024.03.27.583720,2,neuroscience,Identification of letters distorted by physiologically-inspired spatial scrambling,"Zhu, R. X.; Baldwin, A. S."
2026-03-28,13,10.1101/2024.04.08.588641,2,genomics,MINTsC learns multi-way chromatin interactions from single cell high throughput chromatin conformation data,"Park, K.; Gao, T.; Yan, J.; Keles, S."
2026-03-23,13,10.1101/2024.04.21.590479,2,cancer biology,Tumor suppressor p73 transcriptionally regulates c-FLIP to impede its priming of extrinsic apoptosis while a switcher compound degrades c-FLIP protein,"Zhang, S.; Zhou, L.; El-Deiry, W. S."
2026-03-28,13,10.1101/2024.04.29.591575,2,neuroscience,Non-microglial downregulation of PLCG2 impairs synaptic function and elicits Alzheimer disease-related hallmarks,"Coulon, A.; Rabiller, F.; Takalo, M.; Roy, A.; Pelletier, A.; Martiskainen, H.; Siedlecki-Wullich, D.; Lannette-Weimann, N.; Majernikova, N.; Grenon, A.; Gao, V.; Ehrardt, A.; Pernodet, A.; Lemaire, M.; Limoge, F.; Walle, P.; Mendes, T.; Guyot, K.; Lemeu, C.; Carvalho, L.-I.; Melo de Ferias, A. R.; Hulsman, M.; Najdek, C.; Freire-Regatillo, A.; Saha, O.; Amouyel, P.; Charbonnier, C.; Deleuze, J.-F.; Dols-Icardo, O.; Jeskanen, H.; Willman, R.-M.; Kuulasmaa, T.; Kurki, M.; Hardy, J.; Heikkinen, S.; Holstege, H.; Makinen, P.; Nicolas, G.; Mead, S.; Wagner, M.; Ramirez, A.; Rauramaa, T.; Palotie, "
2026-03-23,13,10.1101/2024.06.10.598229,2,genetics,Burden of rare pathogenic variants suggests disrupted cytoskeletal organisation in the pathogenesis of pulmonary fibrosis,"Bhatti, K.; Wang, D.; Fainberg, H.; Bordignon, A. A.; Ni, Y.; Liu, B.; John, A.; Allen, R.; Wain, L. V.; Johnson, S. R.; Maher, T. M.; Molyneaux, P. L.; Renzoni, E.; Saini, G.; Morris-Rosendahl, D.; Jenkins, R. G.; Stewart, I."
2026-03-25,13,10.1101/2024.06.11.598511,3,cell biology,Nuclear envelope rupture in cardiomyocytes orchestrates early transcriptomic changes and immune activation in LMNA-related dilated cardiomyopathy that are reversed by LINC complex disruption,"Zuela - Sopilniak, N.; Morival, J. L. P.; Ntekas, I.; Elpers, M. A.; Agarwal, R.; Henretta, S. J.; Odell, J.; De Vlaminck, I.; Lammerding, J."
