Published,ISOWeek,Updated,ID,Version,Title,Categories
2026-05-11T17:59:56Z,20,2026-05-11T17:59:56Z,2605.10942,1,'HarmoWAM: Harmonizing Generalizable and Precise Manipulation via Adaptive World Action Models',cs.RO
2026-05-11T17:59:29Z,20,2026-05-11T17:59:29Z,2605.10938,1,'ELF: Embedded Language Flows',cs.CL;cs.AI;cs.LG
2026-05-11T17:59:25Z,20,2026-05-11T17:59:25Z,2605.10937,1,'Power Reinforcement Post-Training of Text-to-Image Models with Super-Linear Advantage Shaping',cs.CV
2026-05-11T17:59:17Z,20,2026-05-11T17:59:17Z,2605.10936,1,'Personal Visual Context Learning in Large Multimodal Models',cs.CV
2026-05-11T17:58:45Z,20,2026-05-11T17:58:45Z,2605.10934,1,'Variational Inference for Lévy Process-Driven SDEs via Neural Tilting',cs.LG;cs.AI;cs.CV;cs.RO;stat.ML
2026-05-11T17:58:28Z,20,2026-05-11T17:58:28Z,2605.10933,1,'DECO: Sparse Mixture-of-Experts with Dense-Comparable Performance on End-Side Devices',cs.LG;cs.CL
2026-05-11T17:58:14Z,20,2026-05-11T17:58:14Z,2605.10931,1,'Quantifying Concentration Phenomena of Mean-Field Transformers in the Low-Temperature Regime',math.AP;cs.LG;math.DS
2026-05-11T17:56:02Z,20,2026-05-11T17:56:02Z,2605.10925,1,'PriorVLA: Prior-Preserving Adaptation for Vision-Language-Action Models',cs.RO
2026-05-11T17:55:13Z,20,2026-05-11T17:55:13Z,2605.10923,1,'Dynamic Skill Lifecycle Management for Agentic Reinforcement Learning',cs.LG;cs.CL
2026-05-11T17:55:04Z,20,2026-05-11T17:55:04Z,2605.10922,1,'Pixal3D: Pixel-Aligned 3D Generation from Images',cs.CV
2026-05-11T17:54:49Z,20,2026-05-11T17:54:49Z,2605.10921,1,'RoboMemArena: A Comprehensive and Challenging Robotic Memory Benchmark',cs.RO
2026-05-11T17:52:15Z,20,2026-05-11T17:52:15Z,2605.10917,1,'Optimal and Scalable MAPF via Multi-Marginal Optimal Transport and Schrödinger Bridges',cs.LG;cs.MA;cs.RO
2026-05-11T17:51:46Z,20,2026-05-11T17:51:46Z,2605.10916,1,'Confidence-Guided Diffusion Augmentation for Enhanced Bangla Compound Character Recognition',cs.CV;cs.AI
2026-05-11T17:50:51Z,20,2026-05-11T17:50:51Z,2605.10913,1,'Shepherd: A Runtime Substrate Empowering Meta-Agents with a Formalized Execution Trace',cs.AI;cs.PL;cs.SE
2026-05-11T17:49:43Z,20,2026-05-11T17:49:43Z,2605.10912,1,"'WildClawBench: A Benchmark for Real-World, Long-Horizon Agent Evaluation'",cs.CL
2026-05-11T17:49:28Z,20,2026-05-11T17:49:28Z,2605.10910,1,'Equivariant Reinforcement Learning for Clifford Quantum Circuit Synthesis',quant-ph;cs.LG
2026-05-11T17:49:09Z,20,2026-05-11T17:49:09Z,2605.10909,1,'Revisiting Policy Gradients for Restricted Policy Classes: Escaping Myopic Local Optima with $k$-step Policy Gradients',cs.LG;stat.ML
2026-05-11T17:46:33Z,20,2026-05-11T17:46:33Z,2605.10907,1,'Engineering Robustness into Personal Agents with the AI Workflow Store',cs.CR;cs.AI
2026-05-11T17:46:24Z,20,2026-05-11T17:46:24Z,2605.10906,1,'DataMaster: Towards Autonomous Data Engineering for Machine Learning',cs.LG;cs.AI
2026-05-11T17:44:34Z,20,2026-05-11T17:44:34Z,2605.10904,1,'MDrive: Benchmarking Closed-Loop Cooperative Driving for End-to-End Multi-agent Systems',cs.RO
2026-05-11T17:41:54Z,20,2026-05-11T17:41:54Z,2605.10903,1,'CapVector: Learning Transferable Capability Vectors in Parametric Space for Vision-Language-Action Models',cs.CV;cs.RO
2026-05-11T17:41:38Z,20,2026-05-11T17:41:38Z,2605.10901,1,'Beyond Red-Teaming: Formal Guarantees of LLM Guardrail Classifiers',cs.LG
2026-05-11T17:40:38Z,20,2026-05-11T17:40:38Z,2605.10899,1,'RubricEM: Meta-RL with Rubric-guided Policy Decomposition beyond Verifiable Rewards',cs.CL;cs.LG
2026-05-11T17:38:17Z,20,2026-05-11T17:38:17Z,2605.10896,1,"'V4FinBench: Benchmarking Tabular Foundation Models, LLMs, and Standard Methods on Corporate Bankruptcy Prediction'",cs.LG
2026-05-11T17:36:16Z,20,2026-05-11T17:36:16Z,2605.10894,1,'Counterfactual Stress Testing for Image Classification Models',cs.CV
2026-05-11T17:35:10Z,20,2026-05-11T17:35:10Z,2605.10893,1,'Grounded or Guessing? LVLM Confidence Estimation via Blind-Image Contrastive Ranking',cs.CL
2026-05-11T17:33:28Z,20,2026-05-11T17:33:28Z,2605.10889,1,"'Unmasking On-Policy Distillation: Where It Helps, Where It Hurts, and Why'",cs.LG;cs.AI
2026-05-11T17:33:01Z,20,2026-05-11T17:33:01Z,2605.10888,1,'Shields to Guarantee Probabilistic Safety in MDPs',cs.LO;cs.AI
